x y z alpha beta gamma
-0.025551 0.905718 0.675001 1.571620 0.000661 0.001271
-0.022347 0.902679 0.673014 1.568205 -0.000895 -0.003869
-0.024547 0.904100 0.680010 1.579187 0.001042 -0.000590
-0.023134 0.904288 0.676813 1.574664 0.002051 -0.002701
-0.022914 0.905913 0.676359 1.573958 0.001410 -0.002848
-0.015025 0.902553 0.675890 1.572935 0.000088 -0.015363
-0.019440 0.901067 0.676377 1.573639 0.000653 -0.008814
-0.021292 0.902457 0.669512 1.563141 0.001406 -0.006201
-0.024896 0.906192 0.676464 1.573878 -0.001367 0.000598
0.074888 0.855135 0.802366 1.744487 -0.013283 -0.212749
0.075336 0.854808 0.803089 1.746156 -0.014521 -0.213900
0.077963 0.854542 0.796247 1.734172 -0.017865 -0.218590
0.079726 0.850760 0.801964 1.745026 -0.012900 -0.222427
0.076029 0.853527 0.798650 1.738490 -0.017982 -0.216156
0.077756 0.853839 0.796089 1.734393 -0.016205 -0.218213
0.077717 0.853014 0.799264 1.740374 -0.012494 -0.218215
0.075718 0.854029 0.802618 1.745160 -0.016094 -0.214758
0.079579 0.852162 0.797873 1.738678 -0.010591 -0.221019
0.077047 0.853268 0.801092 1.743233 -0.014604 -0.216902
0.077303 0.853222 0.797968 1.737824 -0.013633 -0.217596
0.076735 0.855096 0.797748 1.737398 -0.014392 -0.215553
0.077423 0.854641 0.800477 1.741040 -0.019004 -0.217274
0.075409 0.853507 0.800307 1.741770 -0.015710 -0.214292
0.078062 0.852044 0.796901 1.735784 -0.015605 -0.219699
0.078812 0.853217 0.797389 1.736914 -0.014902 -0.219483
0.078127 0.854858 0.798450 1.739156 -0.011499 -0.216658
0.077271 0.853696 0.798700 1.738618 -0.016030 -0.217041
0.079215 0.850507 0.798442 1.739672 -0.011786 -0.221858
0.076737 0.855824 0.797582 1.737133 -0.012677 -0.214044
0.078777 0.852736 0.798194 1.738515 -0.012468 -0.219103
0.077590 0.852759 0.798499 1.739196 -0.012531 -0.217210
0.078513 0.853790 0.795745 1.734076 -0.013088 -0.217964
0.079247 0.852555 0.795808 1.733730 -0.014952 -0.220575
0.079961 0.851542 0.798279 1.738934 -0.011860 -0.221828
0.078074 0.856162 0.797763 1.737028 -0.010820 -0.215762
0.078651 0.850080 0.798394 1.739300 -0.014232 -0.221154
0.079001 0.851410 0.798304 1.739362 -0.012447 -0.220455
0.076611 0.853981 0.798847 1.738848 -0.015921 -0.215610
0.078223 0.853883 0.800465 1.741310 -0.015136 -0.218370
0.077549 0.853272 0.798368 1.738004 -0.016367 -0.217561
0.077368 0.854746 0.797654 1.737442 -0.012389 -0.215772
0.075580 0.855329 0.801927 1.743430 -0.016253 -0.213410
0.077935 0.852811 0.799986 1.740482 -0.018175 -0.219256
0.079429 0.852195 0.800163 1.741956 -0.011449 -0.220466
