x y z alpha beta gamma
-0.018517 0.908012 0.680480 1.576898 -0.002387 -0.003245
-0.018522 0.908022 0.680459 1.576892 -0.002349 -0.003226
-0.018526 0.908031 0.680438 1.576885 -0.002311 -0.003207
-0.018530 0.908041 0.680418 1.576878 -0.002274 -0.003189
-0.018535 0.908050 0.680397 1.576871 -0.002236 -0.003170
-0.018539 0.908060 0.680376 1.576864 -0.002198 -0.003151
-0.021842 0.908769 0.672370 1.566843 -0.003094 0.000652
-0.027826 0.910442 0.674493 1.571179 0.000752 0.007540
-0.022482 0.908032 0.680859 1.577020 -0.003551 0.000467
-0.025456 0.907174 0.672553 1.567830 -0.000995 0.003384
-0.028695 0.911311 0.677306 1.573783 -0.000342 0.008630
-0.021283 0.905577 0.669192 1.565191 0.002733 -0.001899
-0.016659 0.902254 0.673995 1.570107 -0.000114 -0.008379
-0.025088 0.907755 0.671725 1.567489 0.000343 0.003366
-0.018904 0.902152 0.676136 1.571919 -0.001789 -0.005718
-0.022419 0.904741 0.677679 1.575112 0.000762 -0.000976
-0.028683 0.911547 0.665576 1.560856 0.002910 0.008583
-0.021242 0.908656 0.681067 1.578846 0.000080 -0.000659
-0.021952 0.904464 0.679509 1.577148 0.000453 -0.001737
-0.022404 0.905240 0.678739 1.576851 0.002099 -0.000920
-0.019333 0.904761 0.674634 1.570683 -0.000192 -0.004364
-0.020834 0.905877 0.675048 1.570932 -0.000427 -0.002095
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.017999 0.902104 0.673387 1.570614 0.002880 -0.007268
-0.021457 0.907107 0.679448 1.577005 -0.000209 -0.001118
-0.023542 0.908363 0.679899 1.577304 -0.000429 0.001888
-0.017140 0.905872 0.679815 1.576904 -0.000719 -0.006252
-0.021893 0.903994 0.671806 1.567204 -0.000130 -0.001999
-0.016146 0.901707 0.671897 1.567082 -0.000317 -0.009279
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.019674 0.904050 0.672758 1.568853 0.000133 -0.004063
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.018560 0.903622 0.673078 1.569221 0.000676 -0.005759
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.080814 0.856460 0.796894 1.737790 -0.012393 -0.217546
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.082251 0.854779 0.793766 1.734837 -0.011356 -0.219825
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.082190 0.852824 0.801656 1.742446 -0.016270 -0.221015
0.087417 0.862606 0.796619 1.734463 -0.018204 -0.220172
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.082755 0.853244 0.799866 1.740790 -0.015144 -0.221045
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
